epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
145,10743.4,0.70622,0.44356,0.87276,0.89602,0.84045,0.90663,0.68618,0.70429,0.42231,0.86314,0.002872,0.002872,0.002872
146,10816.9,0.70417,0.44299,0.87254,0.91423,0.82724,0.90585,0.68683,0.70428,0.4218,0.86338,0.0028225,0.0028225,0.0028225
147,10890.7,0.70756,0.44329,0.87496,0.91613,0.82561,0.90631,0.68678,0.70357,0.42114,0.86311,0.002773,0.002773,0.002773
148,10964.5,0.7015,0.43978,0.87157,0.91481,0.82717,0.90554,0.68813,0.70294,0.42084,0.86273,0.0027235,0.0027235,0.0027235
149,11038.4,0.69888,0.43788,0.87083,0.90722,0.8303,0.90527,0.68711,0.7029,0.42004,0.86283,0.002674,0.002674,0.002674
150,11112.2,0.69565,0.43588,0.87119,0.91402,0.82673,0.90475,0.68842,0.7022,0.41964,0.86275,0.0026245,0.0026245,0.0026245
151,11186,0.69691,0.43612,0.87025,0.91445,0.827,0.90557,0.68822,0.70208,0.41947,0.86276,0.002575,0.002575,0.002575
152,11259.7,0.69245,0.43528,0.86888,0.91584,0.82759,0.90437,0.68796,0.70194,0.41899,0.86282,0.0025255,0.0025255,0.0025255
153,11333.5,0.69075,0.43287,0.86823,0.91657,0.83022,0.9049,0.68823,0.70114,0.41877,0.86267,0.002476,0.002476,0.002476
154,11407.4,0.68147,0.42752,0.86548,0.91554,0.83278,0.90506,0.68844,0.70053,0.41847,0.86252,0.0024265,0.0024265,0.0024265
155,11481.4,0.68476,0.43217,0.86888,0.91637,0.83319,0.90528,0.68897,0.70016,0.41825,0.86252,0.002377,0.002377,0.002377
156,11555.7,0.68873,0.43211,0.86885,0.90903,0.83246,0.90513,0.68787,0.69944,0.41827,0.86248,0.0023275,0.0023275,0.0023275
157,11629.4,0.68399,0.42869,0.86833,0.91264,0.83113,0.90534,0.68741,0.69884,0.41846,0.8622,0.002278,0.002278,0.002278
158,11703.1,0.67986,0.42495,0.86591,0.91392,0.83055,0.90553,0.68975,0.6985,0.41826,0.862,0.0022285,0.0022285,0.0022285
159,11777.2,0.68171,0.4354,0.8663,0.92271,0.82733,0.90531,0.68994,0.69787,0.41801,0.86177,0.002179,0.002179,0.002179
